"saledate","avg_sales_trend"
"2016-05-09","266866.2"
"2015-05-05","266958.5"
"2015-02-23","267162.5"
"2016-03-07","267682.4"
"2013-07-10","267812.4"
"2016-10-11","267917.7"
"2013-08-29","268178.3"
"2013-04-19","268252.3"
"2015-04-29","268275.7"
"2016-01-21","268357.6"
"2013-11-13","268682.0"
"2014-07-18","269030.8"
"2015-05-29","269052.1"
"2014-02-06","269072.5"
"2014-06-20","269157.4"
"2014-06-30","269292.7"
"2013-06-18","269363.7"
"2015-06-03","269407.8"
"2013-04-04","269434.2"
"2014-08-13","269494.0"
"2013-08-28","269526.1"
"2015-09-09","269740.6"
"2013-03-07","270079.0"
"2015-05-08","270082.3"
"2014-05-14","270273.5"
"2015-03-16","270387.7"
"2014-10-08","270602.8"
"2015-01-20","270641.9"
"2015-12-23","270686.3"
"2015-11-16","270919.6"
"2015-09-11","271054.5"
"2014-05-22","271344.0"
"2016-01-11","271357.7"
"2013-08-26","271517.5"
"2016-05-26","271600.5"
"2015-10-16","272091.5"
"2013-10-16","272176.4"
"2015-06-24","272192.0"
"2014-02-03","272200.3"
"2016-10-21","272219.0"
"2014-10-28","272239.6"
"2014-04-18","272260.4"
"2013-12-03","272281.5"
"2015-07-27","272583.8"
"2014-12-30","272703.4"
"2015-03-24","272789.8"
"2013-02-21","273654.1"
"2016-06-29","273747.4"
"2016-05-13","274142.5"
"2015-07-16","274220.8"
"2015-07-29","274240.6"
"2016-02-03","274588.5"
"2013-10-04","274656.7"
"2014-12-07","275000.0"
"2014-09-27","275000.0"
"2015-12-15","275033.5"
"2015-08-13","275117.8"
"2014-06-26","275122.8"
"2015-02-26","275145.3"
"2015-05-28","275582.3"
"2016-07-13","275701.0"
"2013-08-19","275705.3"
"2015-06-15","276250.0"
"2015-06-22","276254.4"
"2013-07-08","276344.7"
"2013-05-30","276405.9"
"2013-10-10","276564.4"
"2016-08-26","276657.7"
"2016-04-11","277006.7"
"2016-07-20","277147.2"
"2016-09-23","277220.9"
"2013-09-09","277299.1"
"2013-12-11","277446.7"
"2015-02-02","277635.0"
"2014-06-10","277694.1"
"2015-03-27","277965.1"
"2016-06-08","277984.6"
"2016-08-12","278071.2"
"2016-07-18","278274.5"
"2015-06-01","278492.3"
"2016-03-25","278720.5"
"2015-01-29","278999.6"
"2015-07-13","279081.8"
"2016-05-20","279106.0"
"2014-09-14","279284.5"
"2015-07-02","279497.0"
"2016-04-22","279741.9"
"2014-11-19","279801.3"
"2015-07-24","279876.6"
"2013-10-07","279886.2"
"2014-12-19","280048.2"
"2014-04-01","280259.9"
"2014-05-15","280406.4"
"2015-06-26","280467.1"
"2015-07-31","280518.5"
"2016-03-08","280650.7"
"2016-08-17","280733.2"
"2016-08-22","280814.8"
"2015-04-17","280930.1"
"2013-10-01","280984.2"
"2016-07-11","280998.3"
"2014-09-15","281117.4"
"2015-06-05","281213.4"
"2016-10-27","281333.8"
"2015-04-06","281404.1"
"2016-03-30","281640.3"
"2016-02-19","281766.2"
"2015-05-13","281809.0"
"2014-08-27","282020.2"
"2015-08-18","282177.4"
"2015-11-17","282233.0"
"2015-05-12","282591.3"
"2015-10-29","282878.7"
"2015-02-03","282883.7"
"2013-07-16","282883.8"
"2016-09-16","283516.4"
"2014-12-29","283594.3"
"2016-09-09","283631.7"
"2013-09-30","283685.2"
"2015-03-12","283932.4"
"2016-04-04","284072.8"
"2015-05-04","284116.0"
"2016-05-10","284303.8"
"2015-10-22","284494.6"
"2015-06-19","284647.1"
"2016-08-03","284686.7"
"2014-11-07","284864.6"
"2016-04-30","285000.0"
"2015-11-20","285000.3"
"2014-03-18","285260.8"
"2016-07-07","285361.2"
"2016-08-24","285505.4"
"2015-01-09","285760.1"
"2016-07-25","285775.5"
"2016-09-15","285796.0"
"2014-01-07","286082.4"
"2015-11-30","286087.7"
"2014-06-16","286243.9"
"2015-05-21","286464.7"
"2016-09-21","286530.8"
"2014-06-19","286915.4"
"2015-01-13","287198.2"
"2014-12-10","287339.7"
"2016-06-02","287453.6"
"2013-01-02","287837.5"
"2014-06-05","288448.9"
"2015-07-21","288579.3"
"2015-08-04","288891.2"
"2014-11-12","288989.9"
"2014-04-17","289359.1"
"2015-04-15","289363.2"
"2015-01-06","289387.0"
"2014-05-28","289778.0"
"2013-12-16","289915.3"
"2014-11-03","290171.9"
"2014-08-14","290302.1"
"2016-08-09","290598.9"
"2016-07-05","290666.5"
"2015-05-22","290698.1"
"2015-07-15","290732.6"
"2016-01-12","291394.4"
"2014-08-25","291675.4"
"2016-10-31","291910.6"
"2016-04-20","292645.4"
"2013-05-28","292734.6"
"2013-05-16","292888.8"
"2016-07-08","293336.9"
"2016-03-15","293701.3"
"2014-12-08","294020.3"
"2015-06-29","294474.8"
"2016-08-10","294626.8"
"2016-06-05","295000.0"
"2014-12-18","295132.5"
"2015-07-09","295844.7"
"2016-04-14","295865.7"
"2016-09-26","296047.9"
"2013-01-10","296059.4"
"2016-01-15","296323.9"
"2016-09-12","296335.9"
"2016-03-31","296728.8"
"2015-01-12","296821.7"
"2015-08-17","297098.2"
"2016-06-21","297208.8"
"2016-09-07","297587.5"
"2014-02-13","298125.3"
"2015-09-04","298270.1"
"2014-01-30","298360.8"
"2016-01-08","298540.6"
"2016-05-05","298717.3"
"2013-05-01","299422.8"
"2015-08-31","299568.5"
"2015-02-06","299664.7"
"2016-09-06","299789.5"
"2016-09-28","299991.5"
"2016-07-15","300296.8"
"2016-02-16","300386.7"
"2014-07-29","300418.5"
"2016-07-01","300635.7"
"2016-03-18","300744.6"
"2015-10-30","300775.7"
"2016-06-06","300781.6"
"2015-12-30","300864.3"
"2016-10-17","301030.3"
